modality,primary_type,fafb_bw,mcns_bw,fafb_rank,mcns_rank,in_both_top
visual,LHPD4a1,0.0,0.0,2282,4340,False
visual,LHPV1c2,0.0,0.0,2286,4354,False
visual,LHPV1d1,0.0,0.0,2287,4355,False
visual,LHPV2a1_d,0.0,0.0,2290,4356,False
visual,LHPV2c4,0.0,0.0,2293,4674,False
visual,LHPV2d1,0.0,0.0,2294,4676,False
visual,LHPV2e1_a,0.0,0.0,2295,4677,False
visual,LHPV2g1,1.0667172301574451e-08,0.0,556,4678,False
visual,LHPV2h1,0.0,0.0,2297,4679,False
visual,LHPV3a1,0.0,0.0,2304,4699,False
visual,LHPV3a2,0.0,0.0,2305,4684,False
visual,LHPV3c1,0.0,0.0,2306,4687,False
visual,LHPV4g1,0.0,0.0,2308,4695,False
visual,LHPV4h1,0.0,0.0,2309,4697,False
visual,LHPV5e3,0.0,0.0,2311,4639,False
visual,LHPV5g1_a,0.0,0.0,2312,4640,False
visual,LHPV5g1_b,0.0,0.0,2313,4641,False
visual,LHPV5i1,0.0,0.0,2314,4642,False
visual,LHPV5l1,0.0,0.0,2283,4643,False
visual,LHPV6c1,0.0,0.0,2284,4646,False
visual,LHPV6g1,6.564413724045816e-09,1.305974197394729e-09,634,1055,False
visual,LHPV6h1,0.0,0.0,2285,4650,False
visual,LHPV6h2,0.0,0.0,2321,4668,False
visual,LHPV6k2,0.0,0.0,2323,4654,False
visual,LHPV6l2,0.0,0.0,2324,4655,False
visual,LHPV6o1,0.0,0.0,2325,4657,False
visual,LHPV6p1,0.0,0.0,2326,4658,False
visual,LHPV7a2,2.7351723850190892e-09,0.0,737,4660,False
visual,LHPV7c1,0.0,0.0,2327,4662,False
visual,LHPV8a1,0.0,0.0,2328,4663,False
visual,LHPV8c1,0.0,0.0,2329,4664,False
visual,LHPV9b1,0.0,8.169594145924807e-08,2330,208,False
visual,LLPC1,0.0,1.0302685335002864e-08,2299,676,False
visual,LLPC2,0.0,0.0,2300,4665,False
visual,LLPC3,0.0,0.0,2301,4666,False
visual,LLPC4,0.0,0.0,2302,4667,False
visual,LPC1,0.0,0.0,2319,4741,False
visual,LPC2,0.0,0.0,2320,4742,False
visual,LPLC1,1.1460372293229987e-07,1.0781542540714265e-07,156,146,False
visual,LPLC2,6.755875790997151e-08,1.0621923472143797e-07,255,168,False
visual,LPLC4,1.0120137824570632e-08,8.416278160988255e-09,563,716,False
visual,LPT21,8.369627498158414e-08,2.249177784402033e-08,210,472,False
visual,LPT22,9.573103347566812e-09,3.177870546993841e-08,574,386,False
visual,LPT23,0.0,0.0,2354,4702,False
visual,LPT26,7.237266130760511e-07,5.503955700798009e-07,16,21,True
visual,LPT27,2.7351723850190897e-10,5.8043297661987965e-09,903,797,False
visual,LPT28,2.7351723850190897e-10,4.208139080494128e-08,904,324,False
visual,LPT29,0.0,0.0,2355,4703,False
visual,LPT30,8.20551715505727e-10,0.0,872,4704,False
visual,LPT31,0.0,0.0,2340,4705,False
visual,LPT49,2.7351723850190897e-10,0.0,902,4706,False
visual,LPT50,8.20551715505727e-10,3.1488488981628475e-08,871,392,False
visual,LPT51,3.801889615176535e-08,1.407549968303208e-08,362,604,False
visual,LPT52,5.360937874637417e-08,2.9021648830993976e-10,287,1259,False
visual,LPT53,8.752551632061087e-09,1.9154288228456032e-08,589,522,False
visual,LPT54,2.259252390025768e-07,1.8022443924047264e-07,81,87,False
visual,LPT57,0.0,0.0,2391,4707,False
visual,LPi12,6.044730970892189e-08,9.397209891475852e-07,266,6,False
visual,LPi14,1.4668729500857375e-06,0.0,3,4708,False
visual,LPsP,0.0,0.0,2390,4719,False
visual,LT11,1.0109197135030556e-06,5.831900332588241e-07,5,20,True
visual,LT1a,1.0010730929169869e-07,0.0,184,4720,False
visual,LT1b,5.743862008540089e-09,4.2661823781561153e-08,652,319,False
visual,LT1c,5.585222010208981e-07,4.312617016285706e-07,28,28,True
visual,LT1d,9.080772318263376e-07,1.2043984264862504e-08,9,636,False
visual,LT33,2.7078206611688988e-08,0.0,430,4564,False
visual,LT34,0.0,0.0,2396,4565,False
visual,LT36,1.0147489548420825e-07,1.6426253238342594e-07,180,93,False
visual,LT37,2.7351723850190892e-09,4.3532473246490965e-10,739,1214,False
visual,LT39,1.53169653561069e-08,4.541888042050558e-08,518,304,False
visual,LT40,7.849944745004789e-08,1.407549968303208e-08,227,603,False
visual,LT41,1.6137517071612632e-08,0.0,513,4567,False
visual,LT42,3.282206862022908e-09,7.545628696058436e-09,722,732,False
visual,LT43,0.0,0.0,2398,4568,False
visual,LT47,0.0,0.0,2399,4569,False
visual,LT51,1.2007406770233804e-07,1.0955672433700229e-07,138,144,False
visual,LT52,4.923310293034362e-09,7.255412207748496e-10,673,1153,False
visual,LT54,0.0,0.0,2384,4570,False
visual,LT55,0.0,0.0,2385,4571,False
visual,LT56,1.156977918863075e-07,1.422060792718705e-08,141,599,False
visual,LT58,1.1323613673979033e-07,2.490057469699284e-07,160,62,False
visual,LT59,0.0,1.4510824415496988e-10,2420,1311,False
visual,LT60,1.6137517071612632e-08,3.3374896155643084e-08,512,375,False
visual,LT61a,5.924383385951349e-07,3.3084679667333137e-07,25,38,False
visual,LT61b,2.7351723850190892e-09,1.422060792718705e-08,738,600,False
visual,LT62,7.040333719039137e-07,1.1096427430530548e-06,17,3,True
visual,LT63,0.0,2.466840150634489e-08,2421,451,False
visual,LT64,0.0,0.0,2422,4572,False
visual,LT65,0.0,0.0,2423,4573,False
visual,LT66,8.014055088105933e-08,6.965195719438555e-09,221,753,False
visual,LT67,0.0,0.0,2424,4574,False
visual,LT68,0.0,0.0,2425,4559,False
visual,LT69,0.0,0.0,2426,4529,False
visual,LT70,0.0,0.0,2395,4530,False
visual,LT72,1.0311599891521968e-07,2.22015613557104e-08,177,475,False
visual,LT73,0.0,0.0,2427,4531,False
visual,LT74,0.0,0.0,2428,4532,False
visual,LT75,0.0,0.0,2429,4533,False
visual,LT76,1.0940689540076359e-09,0.0,819,4534,False
visual,LT77,0.0,0.0,2430,4535,False
visual,LT78,0.0,0.0,2431,4536,False
visual,LT79,7.037598546654118e-07,9.11134665049056e-07,18,7,True
visual,LT80,0.0,8.706494649298193e-10,2432,1125,False
visual,LT81,0.0,0.0,2433,4537,False
visual,LT83,1.7723917054923705e-07,2.6525787031528497e-07,97,56,False
visual,LT84,1.0940689540076359e-09,1.0157577090847891e-09,820,1095,False
visual,LT85,0.0,0.0,2418,4538,False
visual,LT86,5.2515309792366526e-08,6.370251918403179e-08,290,248,False
visual,LT87,5.434787529032932e-07,8.29438723589808e-07,32,9,False
visual,Lawf2,0.0,0.0,2524,4542,False
visual,Li12,1.1515075740930369e-07,2.159210673025952e-07,151,74,False
visual,Li13,0.0,0.0,2515,4543,False
visual,Li14,0.0,1.0781542540714265e-07,2540,147,False
visual,Li15,3.5557241005248166e-09,0.0,711,4590,False
visual,Li16,0.0,8.281327493924133e-07,2541,10,False
visual,Li17,0.0,1.9894340273646374e-07,2542,82,False
visual,Li19,2.376864802581589e-07,0.0,75,4620,False
visual,Li20,0.0,3.511619508550272e-08,2544,359,False
visual,Li21,2.286604113875959e-07,9.98344719786193e-08,80,177,False
visual,Li22,9.026068870562996e-09,0.0,586,4637,False
visual,Li23,0.0,0.0,2545,4622,False
visual,Li25,2.3084854929561123e-07,0.0,79,4623,False
visual,Li26,2.3522482511164173e-08,0.0,456,4624,False
visual,Li27,0.0,0.0,2554,4625,False
visual,Li28,1.6575144653215686e-07,7.255412207748496e-10,105,1154,False
visual,Li29,2.4616551465171807e-08,2.9021648830993976e-10,447,1270,False
visual,Li30,7.997644053795818e-07,2.0141024288709825e-07,14,81,False
visual,Li31,1.204843435600909e-06,0.0,4,4626,False
visual,Li32,6.364746139939422e-07,6.355741093987682e-07,22,16,True
visual,Li33,8.183635775977116e-07,1.1019520061128417e-06,11,5,True
visual,MB-C1,0.0,0.0,2555,2030,False
visual,MBON20,0.0,1.0302685335002864e-08,2556,674,False
visual,MBON27,0.0,0.0,2557,2019,False
visual,MBON33,4.923310293034362e-09,1.1884365196292038e-07,678,131,False
visual,MBON35,7.65848267805345e-09,1.9009179984301058e-08,605,526,False
visual,MDN,0.0,0.0,2567,2020,False
visual,MZ_lv2PN,0.0,2.0605370670005732e-08,2634,500,False
visual,M_l2PN3t18,0.0,0.0,2603,1852,False
visual,M_lvPNm47,0.0,0.0,2606,1857,False
visual,M_smPNm1,0.0,0.0,2607,1860,False
visual,M_vPNml52,0.0,0.0,2639,1879,False
visual,MeTu1,0.0,0.0,2658,1874,False
visual,MeTu3a,0.0,0.0,2659,1876,False
visual,MeTu3b,0.0,9.141819381763105e-09,2660,702,False
visual,MeTu3c,8.314924050458034e-08,0.0,211,1877,False
visual,MeTu4a,0.0,0.0,2661,1864,False
visual,MeTu4b,0.0,0.0,2662,1821,False
visual,MeTu4c,0.0,0.0,2663,1822,False
visual,MeTu4d,0.0,0.0,2664,1823,False
visual,Mi1,1.1542427464780561e-07,0.0,146,2237,False
visual,Mi10,0.0,0.0,2665,2238,False
visual,Mi13,0.0,0.0,2666,2239,False
