root_id,super_class,class
720575940621010804,central,Kenyon_Cell
720575940621371252,central,unknown
720575940649682809,central,Kenyon_Cell
720575940649650041,central,Kenyon_Cell
720575940639328128,central,Kenyon_Cell
720575940659316609,central,Kenyon_Cell
720575940658726785,central,Kenyon_Cell
720575940625237891,central,ALPN
720575940620781446,sensory,olfactory
720575940622354312,central,unknown
720575940624975760,central,Kenyon_Cell
720575940625368976,central,ALPN
720575940614326162,central,ALPN
720575940614784918,central,Kenyon_Cell
720575940634707863,central,LHCENT
720575940626778008,central,unknown
720575940617865117,central,Kenyon_Cell
720575940618225566,central,Kenyon_Cell
720575940654499745,sensory,olfactory
720575940611475370,sensory,olfactory
720575940620519339,central,unknown
720575940633921453,central,unknown
720575940637820846,central,unknown
720575940621174704,central,Kenyon_Cell
720575940606756785,central,ALLN
720575940608362418,central,ALLN
720575940624091061,sensory,olfactory
720575940624549820,central,ALLN
720575940624713660,central,Kenyon_Cell
720575940622649284,central,ALPN
720575940615112646,sensory,olfactory
720575940633593804,central,unknown
720575940609935310,central,Kenyon_Cell
720575940607641557,sensory,olfactory
720575940608886741,central,unknown
720575940622190550,central,unknown
720575940617963480,central,Kenyon_Cell
720575940629792732,central,ALLN
720575940614522847,sensory,olfactory
720575940613212141,central,unknown
720575940620847086,sensory,hygrosensory
720575940619864047,central,unknown
720575940613670893,central,unknown
720575940628318193,central,Kenyon_Cell
720575940612327410,central,unknown
720575940621764596,central,unknown
720575940630644727,central,unknown
720575940629301248,central,ALPN
720575940623828999,central,unknown
720575940628285450,sensory,olfactory
720575940627269642,central,unknown
720575940624746510,central,unknown
720575940628514832,central,unknown
720575940630284306,sensory,olfactory
720575940626581525,sensory,olfactory
720575940633102361,central,Kenyon_Cell
720575940604168224,central,Kenyon_Cell
720575940620421153,sensory,olfactory
720575940617537570,central,ALLN
720575940624975909,sensory,olfactory
720575940625631280,central,unknown
720575940632676409,central,Kenyon_Cell
720575940626516026,sensory,olfactory
720575940621142081,central,LHLN
720575940627826760,descending,unknown
720575940621437004,sensory,olfactory
720575940638148686,central,unknown
720575940639197262,central,Kenyon_Cell
720575940631234643,sensory,olfactory
720575940617209940,sensory,olfactory
720575940632676435,central,unknown
720575940620159070,central,unknown
720575940635592805,sensory,olfactory
720575940636477541,central,unknown
720575940614785130,central,Kenyon_Cell
720575940630546540,central,ALPN
720575940643489902,central,unknown
720575940609378424,central,Kenyon_Cell
720575940620814463,sensory,olfactory
720575940659447937,sensory,olfactory
720575940659611777,central,ALPN
720575940626614405,sensory,olfactory
720575940620421255,sensory,olfactory
720575940617668747,central,ALPN
720575940615604363,central,Kenyon_Cell
720575940626811023,sensory,olfactory
720575940625336464,central,unknown
720575940614719634,central,unknown
720575940623927444,central,Kenyon_Cell
720575940634609815,central,Kenyon_Cell
720575940626778264,central,unknown
720575940616128669,central,Kenyon_Cell
720575940613867682,central,Kenyon_Cell
720575940620224677,sensory,olfactory
720575940614326439,central,Kenyon_Cell
720575940631038125,central,unknown
720575940637526190,central,ALPN
720575940620028080,sensory,olfactory
720575940606757041,central,ALPN
